DRILLHOLE_NO,DH_NAME,DH_OTHER_NAME,lon_dd,lat_dd,max_depth_m,drill_date,TARGET_COMMODITIES,MINERAL_CLASS,PETROLEUM_CLASS,STRATIGRAPHIC_CLASS,WATER_WELL_CLASS,STRAT_LOG,LITHO_LOG,PETROPHYSICAL_LOG,CORE_LIBRARY,OPERATOR_NAME,TENEMENT,MAP_250000,dist_od_km,in_regional_window,strat_units_top_to_base,gis_codes_top_to_base,deepest_logged_base_m,oldest_age_rank,oldest_age_class,depth_top_pre_adelaidean_m,depth_top_crystalline_basement_m,first_pre_adelaidean_unit,first_crystalline_basement_unit,reached_pre_adelaidean,reached_crystalline_basement,pandurra_logged,hole_type,cutoff_t0,buffer_deg
20425,PACMINEX EX 130,,137.2052116,-32.1134214,56.0,1974-06-26,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,188.4,False,Tertiary-Pleistocene rocks > Whyalla Sandstone > Pandurra Formation,aI > N-hueh > M----p,56.0,3.0,Mesoproterozoic,54.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147448,PACMINEX EX 5,,137.1637206,-32.1199104,33.0,1973-10-03,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,188.5,False,Quaternary rocks > Whyalla Sandstone > ferruginisation > weathering/weathered rocks > Pandurra Formation,IH > N-hueh > ------fe > ------we > M----p,33.0,3.0,Mesoproterozoic,27.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
147508,PACMINEX EX 133,,137.1814646,-32.1218604,26.5,1974-06-28,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,189.0,False,Quaternary rocks > Tertiary silcrete > Umberatana Group unit 2 > Pandurra Formation,IH > ap----si > N-hu----02 > M----p,26.5,3.0,Mesoproterozoic,24.0,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
135905,KENELLA 6A,,134.963236,-30.9207693,105.46,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,191.5,False,Quaternary rocks > Mulgathing Complex > Mulgathing Complex,IH > AYm > AYm,105.46,5.0,Archaean,3.0,3.0,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
166510,KENELLA 3A,,134.964198,-30.9250553,44.2,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,191.6,False,Quaternary rocks > Mulgathing Complex,IH > AYm,44.2,5.0,Archaean,4.6,4.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
135902,KENELLA 4A,,134.962346,-30.9225283,152.4,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,191.7,False,Quaternary rocks > Mulgathing Complex,IH > AYm,152.4,5.0,Archaean,4.6,4.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
166511,KENELLA 5A,,134.963149,-30.9289353,106.68,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,191.8,False,Quaternary rocks > Mulgathing Complex,IH > AYm,106.68,5.0,Archaean,4.6,4.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
166509,KENELLA 2A,,134.961791,-30.9239723,123.14,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,191.8,False,Quaternary rocks > Mulgathing Complex > Mulgathing Complex,IH > AYm > AYm,123.14,5.0,Archaean,4.6,4.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
166512,KENELLA 7A,,134.960535,-30.9228883,96.62,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,191.9,False,Quaternary rocks > Mulgathing Complex,IH > AYm,96.62,5.0,Archaean,6.1,6.1,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
166513,KENELLA 8A,,134.959488,-30.9228883,48.16,1973-12-31,Base Metals,Y,N,N,N,Y,N,N,Y,Agilis Exploration Services (Aust) Pty Ltd.,EL 56,SH5310 TARCOOLA,192.0,False,Quaternary rocks > Mulgathing Complex,IH > AYm,48.16,5.0,Archaean,4.6,4.6,Mulgathing Complex,Mulgathing Complex,True,True,False,mineral,1975-05-02,2.0
