seed,L1-1 cover_total_m,L1-2 corr_length_km,L1-3 relief_m,L2-1 intensity_per_1e4km2,L2-3 basalt_multiplier,L3-1 p_reduced,L3-2 belt_length_km,L4-1 reach_d_km,L4-2 p_ore,L4-3 ore_multiplier,L5-2 rho_quartzite,L5-2 rho_shale,L5-2 rho_limestone,L5-2 rho_pandurra,L5-2 k_cover,L5-2 res_cover,L5-4 basement_sd,L5-4 basement_logk_sd,n_basalt,basalt_frac,reduced_frac,n_iron,basement_sd_realized,basement_logk_sd_realized,zone_km2,n_ore,Mt_total,contrast,g_n_per_1e4km2,g_amp_median,g_amp_p90,g_width_median_km,g_residual_sd,m_n_per_1e4km2,m_amp_median,m_amp_p90,m_width_median_km,m_residual_sd
1020,522.5450850485513,15.78630584461237,11.353916745797592,7.6557362280456465,2.5090920772616365,0.15852952932498476,65.95465981853278,8.149641691861163,0.27272137706749566,2.600408661031916,2.6874406539020654,2.4746524320884498,2.2142961749586476,2.4288134758153017,41.30481526418685,157.29452215006876,0.03434511895470585,0.8723797282648139,11,0.03650442477876106,0.15855457227138642,3,0.03354010140569498,0.8323382103901006,822.0,53,4010.6450465073044,0.4085887194869744,5.740998933814484,5.870219557856947,10.379796307203216,7.136496464611085,4.826658823627284,14.027868699148975,960.8453849693564,3525.4028426060845,6.770275002573076,918.1979822753248
1021,451.03584988519304,11.389711203880164,148.71950634626083,2.9031765333751833,3.9690893731203762,0.2881984105260338,93.08017705429297,8.636029428346182,0.2029339301242808,3.9509011383483266,2.678342351326784,2.129509298409776,2.417560283939817,2.3963788405983157,33.54923845938924,7.0140488065995354,0.09441985622820628,0.6761296905215086,8,0.028761061946902654,0.28820058997050146,0,0.09480982756430403,0.6760211640870556,891.0,48,2338.625726898666,0.4253339617831573,4.1007135241532024,15.821926895963918,40.60721388026759,12.6156626101008,16.037341747471682,23.379781165248293,395.8763585751527,2524.685480962194,4.918490759365935,621.1179603637511
1022,320.18432589851056,43.84759361256366,88.47216596692623,7.16853589021338,9.739835869449267,0.2356480036052599,106.70757058113668,5.6988910267161,0.12597810831634193,4.005499487073917,2.639124704080452,2.5370730598042814,2.630696304600865,2.4200724894988817,14.528126439366021,137.18939241766537,0.0873562153692514,0.8127268551510428,13,0.0670353982300885,0.23569321533923304,0,0.08783732640296404,0.8059167669769998,650.0,14,981.1369534479039,0.42653163622026424,1.6402854096612811,22.692987692520912,30.29935692501486,52.24052645507682,15.252716755162679,16.83344243897877,904.2816804616833,3469.7332899399785,4.068428945128219,981.552666705489
1023,438.6041780029842,42.9730365511961,136.44029267555436,7.977787057674937,14.992739469390523,0.11690913924934294,34.54788956691081,4.009794182171802,0.27242908683998696,4.106633304750002,2.6373645044166314,2.1808261561475297,2.3533421941409562,2.4173583889882266,56.055189937841604,215.12687579376183,0.08312799001109353,0.7940592923785627,7,0.02536873156342183,0.11696165191740412,7,0.08102679496854791,0.7449379852473835,110.0,12,307.0459262473095,0.35707371558730827,3.2805708193225622,20.595855794489765,27.389264412206025,48.11090659794746,11.856535745156394,18.703824932198636,614.7827220274173,2934.293407753873,6.6755811781245455,664.2091918930444
1024,432.86168919079944,15.155869766150566,55.546772122243546,9.08039725338963,11.603384853455516,0.06050480126991274,124.93605810351933,12.18545549444077,0.2671861609993399,1.925073499218151,2.684218495934352,2.310500992695389,2.6929496679187874,2.4781099698169706,33.387091812438435,21.227589525670922,0.060719569882822934,0.9364307675904344,12,0.018952802359882007,0.060545722713864304,4,0.06041727952532761,0.769213585906185,169.0,7,616.3338156951964,0.3499190850823721,4.1007135241532024,3.022825912066349,17.604805356360945,12.047792665040703,8.185492694491655,21.509398672028432,326.48075928754815,2674.3313828407904,4.787307364817192,844.8379324448051
1025,607.3910783109504,27.520566627958292,24.321742285888497,4.061828504569898,5.566757456935459,0.21087121467803616,85.5900538319273,0.08715786610415444,0.24734173723605699,4.5022545195887815,2.622758517772061,2.521239109230946,2.447017554356649,2.335329790684158,52.744123000280865,3.4066474467338113,0.05276548924414678,0.565975597271485,8,0.03303834808259587,0.21091445427728614,2,0.050601339284177364,0.5482745010038766,0.0,0,0.0,0.5338677622493613,4.1007135241532024,2.8694078567924355,16.451087701807477,3.9088200952233594,8.242978632441426,16.83344243897877,320.7552768853576,1847.6947544110367,5.165003569585972,358.5197770003377
1026,379.75801856653595,26.059682310628375,29.185520421140264,2.2844481315489302,10.69157173115957,0.17281686690111564,60.288420295705635,2.5904209306297448,0.2704316647733197,2.6551755451159536,2.676441083605788,2.319081405996175,2.66860070517221,2.4927539422519516,49.80542951908084,6.13558555371295,0.07553431923566509,0.8029770258604392,3,0.03672566371681416,0.1728613569321534,1,0.07512965061424935,0.7306306748352331,176.0,12,734.0616992056061,0.3603976748969959,2.4604281144919216,23.792602429533,33.06919968202627,48.99037192985762,13.307357353291355,24.314972411858225,359.9176059743838,1839.3311071251926,7.432182915196323,701.8000135863488
1027,329.7910946388919,24.712856240957453,84.77430916640895,2.092127104052639,16.398962912712385,0.2979714793908168,53.487886164090895,1.6604065948211004,0.10081558623157082,4.385818370097627,2.6508964131512838,2.437206359081987,2.458207275779988,2.4349626840040375,17.19672105578711,42.97814000683559,0.0710527609696128,0.7453887222325153,6,0.005678466076696165,0.2980088495575221,1,0.06802236736611392,0.7308898519411285,30.0,0,0.0,0.29630783441497766,1.6402854096612811,23.31046134468484,24.906264846279672,59.046248922494215,12.859620087277802,19.639016178808568,501.05482766820774,3253.705181252089,6.4820448144285745,716.2157726594116
1028,605.6598775144412,18.612894479540046,101.29682435444498,3.451028880358608,15.246412163464395,0.16862714138017154,146.5732763314501,6.646442373154231,0.26132644705687674,1.978446296021807,2.6488847338922095,2.2327761125615817,2.2734484724462254,2.3111893935368992,25.173524365070772,6.6069020232337,0.04187118395697648,0.6922073288018267,4,0.01047197640117994,0.16865781710914454,4,0.04173113430564582,0.6865155411425737,23.0,1,1.6439048581717706,0.42958749733573764,1.6402854096612811,8.69124480489727,12.784224329410737,47.2669074473614,6.860850328418278,21.509398672028432,701.571409573375,2713.862005018305,6.579524642479541,611.0861362938708
1029,612.8720677142693,37.601716005183604,7.379480424967822,3.4721271188315264,7.265094585808771,0.17259207668301857,71.21831670261118,3.5593272653926897,0.30404691373834647,1.5553305259320025,2.6764095097626543,2.53536518558352,2.30144911979716,2.4300560493282415,14.44488385452801,545.158177575567,0.03131145967889471,0.6842789657595502,9,0.01504424778761062,0.17264011799410028,2,0.030682571224104387,0.667974567010458,121.0,10,399.9925156408218,0.38908005376823507,0.8201427048306406,10.117203829750233,10.117203829750233,79.28419535038176,5.093455467165954,26.18535490507809,545.902595499552,2851.891866816747,5.410236909971298,593.0207873326923
