file,bytes,image_w,image_h,world_file,source_zip,zip_sha256,retrieved
extracted\OD24_iii_agd66_amg_Z54.jpg.aux.xml,7340,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD24_iii_agd66_amg_Z54.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD26_ii_agd66_amg_Z53.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD26_ii_agd66_amg_Z53.jpg,1767858,6893,4794,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD26_ii_agd66_amg_Z53.jpg.aux.xml,7090,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD26_ii_agd66_amg_Z53.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD27_iii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD27_iii_agd66_amg_Z54.jpg,2298051,6696,4282,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD27_iii_agd66_amg_Z54.jpg.aux.xml,7212,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD27_iii_agd66_amg_Z54.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD28_iii_agd66_amg_Z53.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD28_iii_agd66_amg_Z53.jpg,7069681,7939,5368,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD28_iii_agd66_amg_Z53.jpg.aux.xml,7744,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD28_iii_agd66_amg_Z53.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_i_agd66_amg_Z51.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_i_agd66_amg_Z51.jpg,4784143,5131,8795,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_i_agd66_amg_Z51.jpg.aux.xml,7677,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_i_agd66_amg_Z51.TAB,399,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_ii_agd66_amg_Z51.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_ii_agd66_amg_Z51.jpg,2453820,5217,3980,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_ii_agd66_amg_Z51.jpg.aux.xml,7342,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD33_ii_agd66_amg_Z51.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
